shift_date,shift,zone_id,zone_lat,zone_lon,predicted_EIS
2024-04-09,morning (06:00-14:00),12.97_77.6,12.97,77.6,29.921509
2024-04-09,morning (06:00-14:00),12.99_77.575,12.99,77.575,28.813309
2024-04-09,morning (06:00-14:00),13.005_77.55,13.005,77.55,28.811954
2024-04-09,morning (06:00-14:00),12.93_77.58,12.93,77.58,28.325941
2024-04-09,morning (06:00-14:00),12.955_77.585,12.955,77.585,25.267666
2024-04-09,morning (06:00-14:00),12.965_77.535,12.965,77.535,23.23553
2024-04-09,morning (06:00-14:00),12.975_77.615,12.975,77.615,22.331623
2024-04-09,morning (06:00-14:00),12.925_77.585,12.925,77.585,22.206026
2024-04-09,morning (06:00-14:00),12.965_77.64,12.965,77.64,21.636608
2024-04-09,morning (06:00-14:00),12.925_77.675,12.925,77.675,21.351654
2024-04-09,morning (06:00-14:00),12.965_77.555,12.965,77.555,21.229193
2024-04-09,morning (06:00-14:00),12.99_77.6,12.99,77.6,21.155657
2024-04-09,morning (06:00-14:00),12.98_77.615,12.98,77.615,20.834145
2024-04-09,morning (06:00-14:00),12.985_77.55,12.985,77.55,20.535826
2024-04-09,morning (06:00-14:00),13.19_77.645,13.19,77.645,20.464703
2024-04-09,morning (06:00-14:00),12.99_77.54,12.99,77.54,19.9863
2024-04-09,morning (06:00-14:00),12.97_77.645,12.97,77.645,19.647394
2024-04-09,morning (06:00-14:00),12.97_77.66,12.97,77.66,19.354263
2024-04-09,morning (06:00-14:00),12.985_77.6,12.985,77.6,19.185244
2024-04-09,morning (06:00-14:00),12.96_77.7,12.96,77.7,18.660698
2024-04-09,morning (06:00-14:00),13.005_77.685,13.005,77.685,18.467834
2024-04-09,morning (06:00-14:00),12.96_77.53,12.96,77.53,18.23219
2024-04-09,morning (06:00-14:00),13.0_77.54,13.0,77.54,17.943195
2024-04-09,morning (06:00-14:00),12.96_77.585,12.96,77.585,17.547836
2024-04-09,morning (06:00-14:00),12.98_77.695,12.98,77.695,17.404522
2024-04-09,morning (06:00-14:00),12.925_77.62,12.925,77.62,17.198843
2024-04-09,morning (06:00-14:00),12.995_77.615,12.995,77.615,16.770823
2024-04-09,morning (06:00-14:00),12.955_77.7,12.955,77.7,16.658438
2024-04-09,morning (06:00-14:00),13.05_77.575,13.05,77.575,16.313873
2024-04-09,morning (06:00-14:00),13.025_77.585,13.025,77.585,16.151579
2024-04-09,morning (06:00-14:00),12.975_77.62,12.975,77.62,16.148594
2024-04-09,morning (06:00-14:00),12.985_77.58,12.985,77.58,16.107918
2024-04-09,morning (06:00-14:00),12.965_77.72,12.965,77.72,15.982361
2024-04-09,morning (06:00-14:00),12.96_77.645,12.96,77.645,15.742242
2024-04-09,morning (06:00-14:00),12.995_77.59,12.995,77.59,14.920947
2024-04-09,morning (06:00-14:00),12.925_77.68,12.925,77.68,14.796496
2024-04-09,morning (06:00-14:00),12.98_77.555,12.98,77.555,14.7138
2024-04-09,morning (06:00-14:00),12.945_77.595,12.945,77.595,14.694852
2024-04-09,morning (06:00-14:00),13.03_77.575,13.03,77.575,14.409768
2024-04-09,morning (06:00-14:00),12.96_77.65,12.96,77.65,13.978301
2024-04-09,morning (06:00-14:00),12.91_77.64,12.91,77.64,13.440928
2024-04-09,morning (06:00-14:00),12.96_77.51,12.96,77.51,13.226967
2024-04-09,morning (06:00-14:00),12.97_77.64,12.97,77.64,13.041471
2024-04-09,morning (06:00-14:00),12.97_77.605,12.97,77.605,12.87063
2024-04-09,morning (06:00-14:00),12.89_77.64,12.89,77.64,12.804116
2024-04-09,morning (06:00-14:00),12.975_77.625,12.975,77.625,12.772116
2024-04-09,morning (06:00-14:00),13.07_77.585,13.07,77.585,12.622233
2024-04-09,morning (06:00-14:00),13.0_77.61,13.0,77.61,12.42095
2024-04-09,morning (06:00-14:00),12.93_77.68,12.93,77.68,12.128034
2024-04-09,morning (06:00-14:00),12.98_77.56,12.98,77.56,11.976594
2024-04-09,morning (06:00-14:00),12.93_77.69,12.93,77.69,11.9293165
2024-04-09,morning (06:00-14:00),12.97_77.59,12.97,77.59,11.740171
2024-04-09,morning (06:00-14:00),12.97_77.595,12.97,77.595,11.540668
2024-04-09,morning (06:00-14:00),12.995_77.665,12.995,77.665,11.496822
2024-04-09,morning (06:00-14:00),12.91_77.6,12.91,77.6,11.327155
2024-04-09,morning (06:00-14:00),12.96_77.715,12.96,77.715,11.16504
2024-04-09,morning (06:00-14:00),12.9_77.675,12.9,77.675,11.080875
2024-04-09,morning (06:00-14:00),13.03_77.535,13.03,77.535,10.731932
2024-04-09,morning (06:00-14:00),12.975_77.61,12.975,77.61,10.2914715
2024-04-09,morning (06:00-14:00),12.91_77.635,12.91,77.635,10.100244
2024-04-09,morning (06:00-14:00),12.94_77.7,12.94,77.7,10.001447
2024-04-09,morning (06:00-14:00),13.045_77.575,13.045,77.575,9.936356
2024-04-09,morning (06:00-14:00),12.87_77.655,12.87,77.655,9.88804
2024-04-09,morning (06:00-14:00),12.975_77.59,12.975,77.59,9.465888
2024-04-09,morning (06:00-14:00),12.985_77.575,12.985,77.575,9.307642
2024-04-09,morning (06:00-14:00),12.975_77.54,12.975,77.54,8.912436
2024-04-09,morning (06:00-14:00),12.95_77.54,12.95,77.54,8.521241
2024-04-09,morning (06:00-14:00),12.885_77.64,12.885,77.64,8.136585
2024-04-09,morning (06:00-14:00),13.03_77.54,13.03,77.54,8.106919
2024-04-09,morning (06:00-14:00),12.98_77.64,12.98,77.64,8.09822
2024-04-09,morning (06:00-14:00),13.0_77.68,13.0,77.68,7.8158426
2024-04-09,morning (06:00-14:00),12.96_77.6,12.96,77.6,7.514293
2024-04-09,morning (06:00-14:00),12.915_77.575,12.915,77.575,7.477232
2024-04-09,morning (06:00-14:00),13.05_77.595,13.05,77.595,7.433776
2024-04-09,morning (06:00-14:00),12.995_77.66,12.995,77.66,7.293492
2024-04-09,morning (06:00-14:00),12.99_77.57,12.99,77.57,6.9296885
2024-04-09,morning (06:00-14:00),12.995_77.61,12.995,77.61,6.875852
2024-04-09,morning (06:00-14:00),12.875_77.595,12.875,77.595,6.253644
2024-04-09,morning (06:00-14:00),12.97_77.545,12.97,77.545,6.2481847
2024-04-09,morning (06:00-14:00),12.995_77.565,12.995,77.565,6.045011
2024-04-09,morning (06:00-14:00),12.935_77.585,12.935,77.585,5.934193
