zone_id,hour_bucket,predicted_EIS,p_occur,zone_lat,zone_lon
12.99_77.59,2024-04-09 00:00:00+00:00,0.09467267,0.010837933,12.99,77.59
12.99_77.6,2024-04-09 00:00:00+00:00,0.10086546,0.013624942,12.99,77.6
12.9_77.675,2024-04-09 00:00:00+00:00,0.079367876,0.011171767,12.9,77.675
13.005_77.55,2024-04-09 00:00:00+00:00,0.13537154,0.015085985,13.005,77.55
13.005_77.57,2024-04-09 00:00:00+00:00,0.10999811,0.013003257,13.005,77.57
13.005_77.685,2024-04-09 00:00:00+00:00,0.07124674,0.008203875,13.005,77.685
13.015_77.555,2024-04-09 00:00:00+00:00,0.11152941,0.01565763,13.015,77.555
13.01_77.55,2024-04-09 00:00:00+00:00,0.3955885,0.032443598,13.01,77.55
13.01_77.555,2024-04-09 00:00:00+00:00,1.4122739,0.10796388,13.01,77.555
13.01_77.57,2024-04-09 00:00:00+00:00,0.11332514,0.014376679,13.01,77.57
13.01_77.695,2024-04-09 00:00:00+00:00,63.3754,0.78596616,13.01,77.695
13.025_77.585,2024-04-09 00:00:00+00:00,0.061828118,0.008074333,13.025,77.585
13.02_77.53,2024-04-09 00:00:00+00:00,0.19229324,0.020523407,13.02,77.53
13.035_77.59,2024-04-09 00:00:00+00:00,0.14598647,0.017790362,13.035,77.59
13.035_77.625,2024-04-09 00:00:00+00:00,0.032540046,0.003577577,13.035,77.625
13.03_77.535,2024-04-09 00:00:00+00:00,0.09417796,0.01359547,13.03,77.535
13.03_77.54,2024-04-09 00:00:00+00:00,0.6564539,0.0771981,13.03,77.54
13.03_77.575,2024-04-09 00:00:00+00:00,0.07052699,0.009634831,13.03,77.575
13.045_77.575,2024-04-09 00:00:00+00:00,0.11306929,0.017034464,13.045,77.575
13.05_77.575,2024-04-09 00:00:00+00:00,0.103858314,0.012995611,13.05,77.575
13.05_77.595,2024-04-09 00:00:00+00:00,0.09097334,0.01191459,13.05,77.595
13.065_77.59,2024-04-09 00:00:00+00:00,0.07025342,0.007907613,13.065,77.59
13.07_77.585,2024-04-09 00:00:00+00:00,0.060043354,0.007984285,13.07,77.585
13.07_77.59,2024-04-09 00:00:00+00:00,0.84792316,0.056650553,13.07,77.59
13.095_77.595,2024-04-09 00:00:00+00:00,0.055317424,0.0073193405,13.095,77.595
13.095_77.6,2024-04-09 00:00:00+00:00,0.14757036,0.019602846,13.095,77.6
13.0_77.54,2024-04-09 00:00:00+00:00,0.08228991,0.0099344915,13.0,77.54
13.0_77.55,2024-04-09 00:00:00+00:00,0.8195005,0.07023984,13.0,77.55
13.0_77.555,2024-04-09 00:00:00+00:00,0.2812023,0.028580379,13.0,77.555
13.0_77.57,2024-04-09 00:00:00+00:00,0.1711271,0.01906881,13.0,77.57
13.0_77.61,2024-04-09 00:00:00+00:00,0.06371608,0.00896863,13.0,77.61
13.0_77.675,2024-04-09 00:00:00+00:00,1.2355965,0.1367053,13.0,77.675
13.0_77.68,2024-04-09 00:00:00+00:00,0.20892133,0.025322752,13.0,77.68
13.185_77.68,2024-04-09 00:00:00+00:00,1.1341271,0.07379305,13.185,77.68
13.19_77.645,2024-04-09 00:00:00+00:00,0.062411018,0.006715606,13.19,77.645
